iter	RMSE
941	2949801.411
942	2948879.617
943	2947900.728
944	2946008.819
945	2945051.54
946	2942684.781
947	2940562.031
948	2938715.985
949	2935979.83
950	2933548.643
951	2933003.026
952	2928832.009
953	2927369.193
954	2923666.235
955	2922725.895
956	2920903.881
957	2920782.282
958	2920665.326
959	2919546.207
960	2917708.824
961	2915053.685
962	2914129.945
963	2912418.072
964	2911815.204
965	2908720.29
966	2908077.89
967	2907317.914
968	2907232.323
969	2906463.628
970	2904590.306
971	2902670.872
972	2900663.887
973	2899846.696
974	2897703.787
975	2896210.754
976	2893749.697
977	2889749.186
978	2886017.992
979	2885804.197
980	2883268.281
981	2882154.403
982	2878883.611
983	2876926.91
984	2876169.816
985	2873915.859
986	2873298.835
987	2867986.329
988	2867536.017
989	2864148.829
990	2862563.847
991	2858517.676
992	2858183.374
993	2857597.368
994	2855481.477
995	2853074.506
996	2851483.254
997	2849299.054
998	2846299.684
999	2843875.667
1000	2842288.321
1001	2842166.901
1002	2842083.283
1003	2841399.393
1004	2837965.363
1005	2837635.718
1006	2837495.767
1007	2836938.148
1008	2834635.531
1009	2833694.58
1010	2831638.322
1011	2828867.379
1012	2825517.629
1013	2823303.284
1014	2821229.635
1015	2819966.323
1016	2819073.534
1017	2818286.267
1018	2817551.473
1019	2815828.035
1020	2812388.909
1021	2809987.637
1022	2807750.458
1023	2807020.063
1024	2805685.973
1025	2801377.947
1026	2797916.576
1027	2795843.193
1028	2794928.624
1029	2794387.413
1030	2792329.499
1031	2790299.334
1032	2785575.373
1033	2783628.957
1034	2781297.798
1035	2780088.372
1036	2776808.557
1037	2776485.903
1038	2776312.731
1039	2773884.355
1040	2772678.146
1041	2770845.411
1042	2769387.516
1043	2767506.956
1044	2767279.871
1045	2767068.356
1046	2765072.487
1047	2763324.687
1048	2763149.899
1049	2761355.906
1050	2760958.015
1051	2760259.1
1052	2759064.126
1053	2757911.487
1054	2756454.872
1055	2754952.83
1056	2753825.139
1057	2753732.689
1058	2750391.434
1059	2749420.747
1060	2749305.458
1061	2746091.647
1062	2743131.166
1063	2742172.189
1064	2740967.536
1065	2736192.535
1066	2734690.666
1067	2732737.418
1068	2731885.097
1069	2731748.199
1070	2731565.085
1071	2730665.774
1072	2729392.689
1073	2727516.225
1074	2726474.402
1075	2724802.045
1076	2721796.992
1077	2720564.417
1078	2718066.052
1079	2717390.668
1080	2715164.148
1081	2712091.17
1082	2708876.399
1083	2706953.526
1084	2703274.893
1085	2700319.957
1086	2699463.375
1087	2697870.11
1088	2696372.65
1089	2691801.343
1090	2687506.646
1091	2686244.353
1092	2685860.14
1093	2683850.276
1094	2683277.624
1095	2680827.716
1096	2680655.973
1097	2678043.574
1098	2676278.414
1099	2674419.007
1100	2674002.144
1101	2672180.647
1102	2669159.505
1103	2667126.256
1104	2663673.313
1105	2662099.292
1106	2660652.393
1107	2659674.863
1108	2657251.302
1109	2656141.284
1110	2652072.598
1111	2650514.285
1112	2649394.578
1113	2647862.487
1114	2646467.808
1115	2645896.478
1116	2643739.111
1117	2641569.33
1118	2640409.614
1119	2640058.467
1120	2637924.054
1121	2636250.722
1122	2634365.429
1123	2633020.122
1124	2631733.528
1125	2631619.933
1126	2628426.396
1127	2627971.037
1128	2626886.642
1129	2626719.22
1130	2624885.618
1131	2623572.628
1132	2623049.724
1133	2621979.725
1134	2621423.173
1135	2621220.161
1136	2620170.717
1137	2619627.511
1138	2615350.802
1139	2613582.139
1140	2612295.856
1141	2611281.708
1142	2610371.766
1143	2609340.848
1144	2608898.787
1145	2608366.223
1146	2607533.527
1147	2606364.473
1148	2605995.587
1149	2604761.233
1150	2601531.94
1151	2601248.509
1152	2598640.615
1153	2597546.691
1154	2594347.026
1155	2593369.454
1156	2590846.415
1157	2589992.567
1158	2589478.514
1159	2586675.592
1160	2584206.724
1161	2584114.187
1162	2583788.034
1163	2582496.518
1164	2581261.226
1165	2579745.928
1166	2578263.769
1167	2578090.348
1168	2577329.573
1169	2576126.07
1170	2573249.444
1171	2572443.915
1172	2570251.41
1173	2569066.377
1174	2568164.531
1175	2566699.127
1176	2565844.431
1177	2563386.017
1178	2563222.164
1179	2562154.518
1180	2561001.121
1181	2559632.236
1182	2559473.605
1183	2558282.788
1184	2555559.447
1185	2554546.891
1186	2553901.419
1187	2553352.886
1188	2552128.187
1189	2551070.388
1190	2550263.936
1191	2548414.866
1192	2548006.294
1193	2547219.403
1194	2544555.766
1195	2543080.947
1196	2541422.365
1197	2540158.686
1198	2538864.003
1199	2538401.221
1200	2534479.863
1201	2532677.925
1202	2531861.35
1203	2530487.208
1204	2529593.734
1205	2528175.667
1206	2527036.904
1207	2523246.924
1208	2522680.081
1209	2521348.495
1210	2520325.721
1211	2519637.226
1212	2518867.771
1213	2517691.603
1214	2515516.939
1215	2514289.512
1216	2512158.992
1217	2511275.992
1218	2509681.133
1219	2506506.855
1220	2504210.189
1221	2503533.647
1222	2503006.643
1223	2502578.441
1224	2501491.471
1225	2500765.765
1226	2499852.551
1227	2497053.801
1228	2496361.034
1229	2495423.065
1230	2493224.815
1231	2491555.365
1232	2490667.439
1233	2487093.32
1234	2484411.938
1235	2481808.197
1236	2480849.419
1237	2479296.622
1238	2477165.671
1239	2476556.694
1240	2475879.395
1241	2474388.944
1242	2473109.983
1243	2472698.983
1244	2471791.039
1245	2469969.94
1246	2469469.474
1247	2469017.357
1248	2468083.765
1249	2467204.675
1250	2465841.181
1251	2464939.948
1252	2462996.991
1253	2462527.325
1254	2460232.963
1255	2458707.963
1256	2457674.449
1257	2456595.634
1258	2454669.117
1259	2453946.265
1260	2452600.54
1261	2451141.682
1262	2450363.196
1263	2448304.623
1264	2446827.812
1265	2445472.097
1266	2443765.545
1267	2443223.982
1268	2440868.571
1269	2439188.121
1270	2438372.892
1271	2435177.547
1272	2432883.045
1273	2430418.518
1274	2429968.974
1275	2429094.349
1276	2427464.744
1277	2425854.875
1278	2425258.72
1279	2425037.657
1280	2422836.609
1281	2422405.697
1282	2419416.758
1283	2417899.956
1284	2416280.841
1285	2415003.852
1286	2413700.327
1287	2412289.831
1288	2410966.331
1289	2409694.237
1290	2408093.969
1291	2407261.112
1292	2406710.332
1293	2404729.315
1294	2403926.409
1295	2403043.842
1296	2401320.426
1297	2398018.45
1298	2396324.795
1299	2395459.938
1300	2392791.085
1301	2391608.078
1302	2390554.799
1303	2389260.602
1304	2388568.695
1305	2388149.747
1306	2386122.277
1307	2385072.485
1308	2383574.15
1309	2382756.105
1310	2382305.848
1311	2381344.305
1312	2380027.2
1313	2379885.38
1314	2377917.798
1315	2376989.83
1316	2374231.682
1317	2373613.205
1318	2373223.713
1319	2372064.389
1320	2370556.796
1321	2369614.632
1322	2368950.345
1323	2367538.16
1324	2366695.224
1325	2366400.579
1326	2366109.902
1327	2365974.023
1328	2363921.318
1329	2363128.279
1330	2362409.818
1331	2361204.079
1332	2359942.261
1333	2359477.665
1334	2358657.35
1335	2358115.815
1336	2356654.49
1337	2355928.452
1338	2355076.087
1339	2354208.525
1340	2353150.941
1341	2351527.73
1342	2351344.222
1343	2351086.83
1344	2349604.035
1345	2348704.66
1346	2348037.839
1347	2347909.875
1348	2346400.269
1349	2345304.938
1350	2344084.085
1351	2343438.912
1352	2341847.139
1353	2341133.181
1354	2340202.124
1355	2337386.179
1356	2335953.354
1357	2335114.153
1358	2333884.18
1359	2332475.613
1360	2331405.567
1361	2330689.732
1362	2329608.625
1363	2328517.142
1364	2327687.24
1365	2327390.781
1366	2325592.408
1367	2324772.484
1368	2323150.5
1369	2321285.339
1370	2320566.881
1371	2319420.211
1372	2319043.042
1373	2318139.247
1374	2317310.529
1375	2316522.547
1376	2315491.261
1377	2314833.475
1378	2314081.989
1379	2313011.944
1380	2312015.458
1381	2311558.853
1382	2310738.359
1383	2309918.727
1384	2309186.434
1385	2307861.336
1386	2307135.487
1387	2306525.485
1388	2306375.007
1389	2305611.047
1390	2304754.936
1391	2304430.198
1392	2302646.208
1393	2301830.432
1394	2300513.023
1395	2300240.738
1396	2299235.376
1397	2298818.123
1398	2297468.129
1399	2296552.971
1400	2294036.196
1401	2293144.227
1402	2291679.946
1403	2291243.059
1404	2290156.414
1405	2289408.306
1406	2288481.107
1407	2287867.373
1408	2285935.677
1409	2285528.747
1410	2284003.336
1411	2283305.512
1412	2281440.433
1413	2279371.224
1414	2278729.222
1415	2277991.407
1416	2276042.774
1417	2275003.691
1418	2274292.887
1419	2273694.801
1420	2273076.41
1421	2271049.644
1422	2269697.516
1423	2268033.303
1424	2267696.258
1425	2264872.786
1426	2263748.874
1427	2261943.142
1428	2261454.106
1429	2260878.123
1430	2259285.36
1431	2258347.092
1432	2256827.656
1433	2256494.205
1434	2255440.442
1435	2254147.89
1436	2252554.231
1437	2251865.384
1438	2251401.085
1439	2249967.091
1440	2248899.967
1441	2248634.929
1442	2247779.92
1443	2247224.742
1444	2246088.248
1445	2243316.439
1446	2242096.435
1447	2239755.511
1448	2238832.326
1449	2237881.786
1450	2236079.762
1451	2235396.144
1452	2234607.752
1453	2234199.208
1454	2232976.143
1455	2232292.104
1456	2231258.294
1457	2230371.817
1458	2229423.115
1459	2228896.769
1460	2228296.922
1461	2227567.91
1462	2226706.437
1463	2226394.493
1464	2225602.983
1465	2224565.045
1466	2223852.2
1467	2223637.214
1468	2223073.072
1469	2221494.357
1470	2220320.912
1471	2220015.552
1472	2219417.69
1473	2218272.618
1474	2217785.954
1475	2216929.453
1476	2216015.884
1477	2215167.393
1478	2214773.99
1479	2214124.601
1480	2212757.561
1481	2211250.809
1482	2210888.163
1483	2209875.131
1484	2208901.935
1485	2208620.177
